ParentRegion,Region,u_name,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature,hiking,beach,watersports,entertainment,wintersports,culture,culinary,architecture,shopping,popularity
Southern Europe,Corsica and Sardinia,FRA_CO,350,,,,,,,,,,,,,,o,o,+,o,-,--,o,o,-,-,+
Southern Europe,Italy and Malta,ITA,350,,,,,,,,,,,,,,+,+,+,+,o,--,++,+,++,o,++
Southern Europe,"Greece, mainland",GRC_ML,350,,,,,,,,,,,,,,+,+,+,+,o,--,+,+,+,o,+
Southern Europe,"Greece, islands",GRC_IS,350,,,,,,,,,,,,,,+,o,++,+,+,--,++,+,o,-,++
Southern Europe,"Spain, mainland",ESP_ML,350,,,,,,,,,,,,,,o,-,++,+,+,--,+,+,+,o,++
Southern Europe,"Spain, Balearic Islands",ESP_BA,350,-,-,o,+,++,++,+,+,++,++,o,-,,+,+,++,+,++,--,o,+,o,-,++
Southern Europe,"Spain, Canary islands",ESP_CA,350,+,+,+,++,++,++,+,+,++,++,++,o,,o,o,+,o,+,--,o,o,o,-,++
Southern Europe,"Portugal, mainland",PRT,350,,,,,,,,,,,,,,o,o,+,o,o,--,+,+,+,-,++
Southern Europe,"Portugal, islands",PRT_IS,350,,,,,,,,,,,,,,+,+,+,+,o,--,+,o,o,-,+
Southern Europe,Turkey,TUR,350,,,,,,,,,,,,,,o,o,+,o,o,o,++,+,+,o,+
Southern Europe,Cyprus,CYP,350,,,,,,,,,,,,,,-,o,+,+,o,--,+,o,o,-,o
